sigma,transmittance
392.049,0.742
392.9195762,0.742
393.7901524,0.742
394.66072859999997,0.742
395.5313048,0.742
396.401881,0.744
397.2724572,0.744
398.14303340000004,0.744
399.0136096,0.744
399.8841858,0.744
400.754762,0.745
401.62533840000003,0.745
402.49591480000004,0.745
403.3664912,0.746
404.2370676,0.746
405.107644,0.746
405.9782202,0.748
406.8487964,0.748
407.7193726,0.748
408.5899488,0.748
409.460525,0.748
410.33110120000003,0.746
411.2016774,0.745
412.0722536,0.745
412.94282979999997,0.744
413.813406,0.744
414.6839822,0.744
415.5545584,0.744
416.4251346,0.742
417.2957108,0.742
418.166287,0.742
419.0368634,0.742
419.9074398,0.742
420.77801619999997,0.744
421.6485926,0.744
422.519169,0.745
423.3897452,0.746
424.2603214,0.748
425.13089759999997,0.749
426.0014738,0.752
426.87205,0.757
427.7426262,0.759
428.61320240000003,0.76
429.4837786,0.766
430.3543548,0.77
431.224931,0.774
432.09550720000004,0.779
432.9660834,0.779
433.8366596,0.783
434.7072358,0.786
435.577812,0.79
436.4483882,0.793
437.3189644,0.794
438.1895406,0.797
439.0601168,0.798
439.930693,0.798
440.8012694,0.8
441.6718458,0.801
442.5424222,0.803
443.4129986,0.803
444.283575,0.804
445.1541512,0.804
446.0247274,0.805
446.8953036,0.807
447.7658798,0.808
448.636456,0.808
449.5070322,0.809
450.3776084,0.809
451.2481846,0.809
452.11876079999996,0.809
452.989337,0.809
453.8599132,0.808
454.7304894,0.808
455.60106559999997,0.808
456.4716418,0.808
457.342218,0.807
458.2127944,0.807
459.0833708,0.805
459.9539472,0.805
460.8245236,0.804
461.6951,0.803
462.56567620000004,0.801
463.4362524,0.8
464.3068286,0.798
465.1774048,0.797
466.047981,0.794
466.9185572,0.793
467.7891334,0.792
468.6597096,0.789
469.5302858,0.787
470.400862,0.785
471.27143820000003,0.782
472.1420144,0.778
473.0125906,0.777
473.88316679999997,0.77
474.753743,0.767
475.6243192,0.761
476.4948954,0.757
477.3654716,0.748
478.2360478,0.741
479.106624,0.735
479.9772004,0.727
480.8477768,0.709
481.71835319999997,0.697
482.5889296,0.694
483.459506,0.682
484.3300822,0.67
485.2006584,0.6481
486.07123459999997,0.641
486.9418108,0.64
487.812387,0.64
488.6829632,0.641
489.55353940000003,0.645
490.4241156,0.648
491.2946918,0.658
492.165268,0.664
493.03584420000004,0.675
493.9064204,0.678
494.7769966,0.686
495.6475728,0.6989
496.518149,0.711
497.3887254,0.722
498.2593018,0.727
499.1298782,0.734
500.0004546,0.741
500.871031,0.745
501.74160720000003,0.751
502.6121834,0.755
503.4827596,0.755
504.35333579999997,0.757
505.223912,0.759
506.0944882,0.759
506.9650644,0.76
507.8356406,0.76
508.7062168,0.76
509.576793,0.76
510.4473692,0.76
511.3179454,0.759
512.1885216,0.759
513.0590978,0.759
513.929674,0.759
514.8002501999999,0.757
515.6708264,0.756
516.5414026,0.756
517.4119788,0.755
518.282555,0.755
519.1531314,0.753
520.0237078,0.752
520.8942842,0.751
521.7648606,0.748
522.635437,0.748
523.5060132,0.746
524.3765894000001,0.745
525.2471656,0.744
526.1177418000001,0.744
526.988318,0.742
527.8588942,0.742
528.7294704,0.741
529.6000466,0.74
530.4706228,0.735
531.341199,0.734
532.2117751999999,0.733
533.0823514,0.731
533.9529276,0.73
534.8235038,0.729
535.69408,0.729
536.5646564,0.727
537.4352328,0.727
538.3058092,0.726
539.1763856,0.723
540.046962,0.723
540.9175382,0.722
541.7881144,0.719
542.6586906,0.719
543.5292668000001,0.718
544.399843,0.718
545.2704192,0.716
546.1409954,0.716
547.0115716,0.715
547.8821478,0.714
548.752724,0.712
549.6233001999999,0.711
550.4938764,0.709
551.3644525999999,0.708
552.2350288,0.707
553.105605,0.704
553.9761811999999,0.701
554.8467574,0.7
555.7173336,0.7
556.5879098,0.699
557.458486,0.697
