sigma,transmittance
4.1850094,0.738
4.192,0.739
4.1988094,0.741
4.2056188,0.743
4.212428200000001,0.746
4.2192376000000005,0.748
4.226047,0.751
4.2328376,0.755
4.2396282,0.76
4.2464188,0.761
4.2532094,0.763
4.26,0.763
4.2668094,0.765
4.2736187999999995,0.767
4.2804282,0.768
4.2872376,0.768
4.294047,0.77
4.3008376,0.772
4.3076282,0.775
4.3144188,0.778
4.3212094,0.782
4.328,0.785
4.3348094,0.79
4.3416188,0.794
4.3484282,0.799
4.3552376,0.802
4.362047,0.807
4.3688376,0.812
4.3756281999999995,0.818
4.3824188,0.823
4.3892093999999995,0.826
4.396,0.826
4.4028094,0.826
4.4096188,0.826
4.4164282,0.826
4.4232376,0.826
4.430047,0.826
4.4368376000000005,0.824
4.4436282,0.824
4.4504188000000005,0.824
4.4572094,0.824
4.464,0.823
4.4708094,0.823
4.4776188,0.821
4.4844282,0.823
4.4912376,0.823
4.498047,0.823
4.5048376,0.823
4.5116282,0.824
4.5184188,0.824
4.5252094,0.826
4.532,0.828
4.5388094,0.831
4.5456188,0.833
4.5524282000000005,0.835
4.5592376,0.836
4.566047,0.838
4.5728376,0.838
4.5796282,0.836
4.5864188,0.838
4.5932094,0.841
4.6,0.845
4.6068093999999995,0.85
4.613618799999999,0.85
4.6204282,0.841
4.6272376,0.841
4.634047,0.843
4.6408376,0.85
4.6476282,0.846
4.6544188,0.843
4.6612094,0.841
4.668,0.841
4.6748094,0.843
4.6816188,0.845
4.688428200000001,0.846
4.6952376000000005,0.848
4.702047,0.848
4.7088376,0.85
4.7156282,0.848
4.7224188,0.85
4.7292094,0.852
4.736,0.852
4.7428094,0.853
4.7496187999999995,0.853
4.7564282,0.855
4.7632376,0.857
4.770047,0.858
4.7768376,0.858
4.7836282,0.86
4.7904188,0.86
4.7972094,0.86
4.804,0.858
4.8108094,0.855
4.8176188,0.855
4.824428200000001,0.853
4.831237600000001,0.855
4.838047,0.858
4.8448376,0.862
4.8516282,0.865
4.8584188,0.865
4.8652094,0.865
4.872,0.863
4.8788094,0.862
4.8856188,0.862
4.8924282,0.862
4.8992376,0.862
4.906047,0.862
4.9128376000000005,0.862
4.9196282,0.862
4.9264188,0.86
4.9332094,0.857
4.94,0.855
4.9468094,0.853
4.9536188,0.852
4.9604282,0.852
4.9672376,0.848
4.974047,0.846
4.9808376,0.848
4.9876282,0.848
4.9944188,0.85
5.0012094,0.85
5.008,0.85
5.0148094,0.85
5.0216188,0.85
5.0284282000000005,0.85
5.0352376,0.85
5.042047,0.845
5.0488376,0.843
5.0556282,0.841
5.0624188,0.841
5.0692094,0.843
5.076,0.843
5.0828093999999995,0.845
5.089618799999999,0.843
5.0964282,0.843
5.1032376,0.843
5.110047,0.84
5.1168376,0.836
5.1236282,0.835
5.1304188,0.833
5.1372094,0.831
5.144,0.826
5.1508094,0.824
5.1576188,0.824
5.164428200000001,0.824
5.1712376,0.824
5.178047,0.824
5.1848376,0.824
5.1916282,0.823
5.1984188,0.823
5.2052094,0.821
5.212,0.819
5.2188094,0.818
5.2256187999999995,0.818
5.2324282,0.816
5.2392376,0.816
5.246047,0.816
5.2530376,0.816
5.2600282,0.816
5.2670188,0.812
5.2740094,0.812
5.281,0.811
5.2878093999999995,0.807
5.294618799999999,0.806
5.3014282,0.804
5.3082376,0.802
5.315047,0.802
5.3218376,0.801
5.3286282,0.799
5.3354188,0.795
5.3422094,0.792
5.349,0.79
5.3558094,0.785
5.3626188,0.784
5.369428200000001,0.782
5.3762376000000005,0.782
5.383047,0.78
5.3898376,0.778
5.3966282,0.778
5.4034188,0.777
5.4102094,0.777
5.417,0.775
5.4238094,0.772
