sigma,transmittance
383.0,0.1365
384.0,0.1371
385.0,0.1376
386.0,0.1381
387.0,0.1387
388.0,0.1392
389.0,0.1405
390.0,0.142
391.0,0.1436
392.0,0.1452
393.0,0.1468
394.0,0.1496
395.0,0.1523
396.0,0.1551
397.0,0.1648
398.0,0.1868
399.0,0.2088
400.0,0.2307
401.0,0.2527
402.0,0.2746
403.0,0.2966
404.0,0.3184
405.0,0.3405
406.0,0.3864
407.0,0.4239
408.0,0.4582
409.0,0.4797
410.0,0.5093
411.0,0.5328
412.0,0.5518
413.0,0.5724
414.0,0.5931
415.0,0.6065
416.0,0.6187
417.0,0.6309
418.0,0.6431
419.0,0.6554
420.0,0.6646
421.0,0.6699
422.0,0.6751
423.0,0.6806
424.0,0.6858
425.0,0.6911
426.0,0.6965
427.0,0.7017
428.0,0.7068
429.0,0.7121
430.0,0.7174
431.0,0.7225
432.0,0.7278
433.0,0.7319
434.0,0.7355
435.0,0.7391
436.0,0.7426
437.0,0.7462
438.0,0.7499
439.0,0.7535
440.0,0.7565
441.0,0.759
442.0,0.7615
443.0,0.7642
444.0,0.7668
445.0,0.7683
446.0,0.7692
447.0,0.7701
448.0,0.771
449.0,0.7718
450.0,0.7718
451.0,0.7718
452.0,0.7715
453.0,0.7712
454.0,0.7703
455.0,0.7694
456.0,0.7685
457.0,0.7674
458.0,0.7661
459.0,0.7648
460.0,0.7635
461.0,0.7621
462.0,0.7608
463.0,0.7597
464.0,0.7585
465.0,0.7572
466.0,0.7561
467.0,0.755
468.0,0.7525
469.0,0.7505
470.0,0.7493
471.0,0.7485
472.0,0.7489
473.0,0.7481
474.0,0.7507
475.0,0.7525
476.0,0.7565
477.0,0.7618
478.0,0.7669
479.0,0.7726
480.0,0.7792
481.0,0.7857
482.0,0.7911
483.0,0.7964
484.0,0.8015
485.0,0.8068
486.0,0.8121
487.0,0.8175
488.0,0.8217
489.0,0.8238
490.0,0.826
491.0,0.8282
492.0,0.8303
493.0,0.8325
494.0,0.8338
495.0,0.8344
496.0,0.8351
497.0,0.8353
498.0,0.8353
499.0,0.8356
500.0,0.835
501.0,0.8339
502.0,0.8328
503.0,0.8317
504.0,0.8291
505.0,0.8265
506.0,0.824
507.0,0.8204
508.0,0.8155
509.0,0.8106
510.0,0.8057
511.0,0.8007
512.0,0.7978
513.0,0.7958
514.0,0.7941
515.0,0.7933
516.0,0.793
517.0,0.7925
518.0,0.7924
519.0,0.7921
520.0,0.7918
521.0,0.7914
522.0,0.791
523.0,0.7903
524.0,0.7893
525.0,0.7884
526.0,0.7874
527.0,0.7858
528.0,0.7842
529.0,0.7825
530.0,0.7808
531.0,0.7789
532.0,0.7771
533.0,0.7753
534.0,0.7746
535.0,0.7742
536.0,0.7743
537.0,0.7761
538.0,0.7739
539.0,0.7951
540.0,0.8075
541.0,0.8206
542.0,0.8345
543.0,0.844
544.0,0.8515
545.0,0.8563
546.0,0.8595
547.0,0.8627
548.0,0.8649
549.0,0.8667
550.0,0.8686
551.0,0.8701
552.0,0.8711
553.0,0.872
554.0,0.873
555.0,0.8728
556.0,0.8725
557.0,0.872
558.0,0.8718
559.0,0.8716
560.0,0.8711
561.0,0.8707
562.0,0.8701
563.0,0.8693
564.0,0.8677
565.0,0.8658
566.0,0.8628
567.0,0.8594
568.0,0.8549
569.0,0.8503
570.0,0.8458
571.0,0.8413
572.0,0.8364
573.0,0.83
574.0,0.8232
575.0,0.8158
576.0,0.8074
577.0,0.7969
578.0,0.7865
579.0,0.7758
580.0,0.7649
581.0,0.7335
582.0,0.7108
583.0,0.6868
584.0,0.6675
585.0,0.6508
586.0,0.635
587.0,0.6352
588.0,0.6357
589.0,0.7292
590.0,0.7433
591.0,0.7498
592.0,0.7558
593.0,0.7605
594.0,0.7651
595.0,0.7683
596.0,0.7705
597.0,0.7724
598.0,0.7733
599.0,0.7832
600.0,0.7997
601.0,0.8171
602.0,0.8343
603.0,0.8518
604.0,0.86
605.0,0.868
606.0,0.8728
607.0,0.8775
608.0,0.8796
609.0,0.8798
610.0,0.88
611.0,0.88
612.0,0.88
613.0,0.8798
